player, team, num, position, gp, pts, goals, ast, onePt, onePtPct, twoPt, twoPtPct, sh, shPct, sog, to, ct, gb, fo, foPct
Adam Ghitelman,ARC,8,Goalie,9,0,0,0,0-0,0.0%,0-2,0.0%,2,0.0%,2,3,1,11,0-0,0.0%
Austin Sims,ARC,18,Midfield,3,2,2,0,2-10,20.0%,0-2,0.0%,12,16.6%,6,2,0,1,0-0,0.0%
Ben McIntosh,ARC,90,Midfield,10,13,11,2,11-43,25.5%,0-1,0.0%,44,25.0%,27,7,0,7,0-0,0.0%
Christian Cuccinello,ARC,30,Attack,8,12,8,4,8-27,29.6%,0-1,0.0%,28,28.5%,17,7,0,10,0-0,0.0%
Danny Eipp,ARC,3,Midfield,9,9,5,4,5-19,26.3%,0-0,0.0%,19,26.3%,12,4,1,3,0-0,0.0%
Davey Emala,ARC,0,Attack,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Dominique Alexander,ARC,23,Midfield,10,1,0,1,0-2,0.0%,0-1,0.0%,3,0.0%,1,2,5,15,0-0,0.0%
Drew Adams,ARC,14,Goalie,7,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,7,0-0,0.0%
Evan Connell,ARC,99,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,2,0-0,0.0%
Goran Murray,ARC,44,Defense,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,2,0-0,0.0%
Ian MacKay,ARC,94,Midfield,4,3,2,1,2-8,25.0%,0-3,0.0%,11,18.1%,7,3,0,1,0-0,0.0%
Jackson Place,ARC,17,Defense,10,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,12,22,0-0,0.0%
Kevin Rice,ARC,22,Attack,6,7,3,4,3-26,11.5%,0-1,0.0%,27,11.1%,17,7,0,4,0-0,0.0%
Marcus Holman,ARC,1,Attack,10,32,23,7,21-64,32.8%,2-10,20.0%,74,31.0%,43,19,0,17,0-0,0.0%
Mark McNeill,ARC,21,Midfield,9,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,2,3,3,18,0-0,0.0%
Matt McMahon,ARC,11,Defense,10,0,0,0,0-0,0.0%,0-3,0.0%,3,0.0%,0,3,11,23,0-0,0.0%
Michael Noone,ARC,12,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,2,0-0,0.0%
Nick Tintle,ARC,88,Midfield,3,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%
Ryan Ambler,ARC,13,Attack,9,10,3,7,3-14,21.4%,0-0,0.0%,14,21.4%,6,6,0,5,0-0,0.0%
Stephen Kelly,ARC,10,Faceoff,10,7,3,4,3-8,37.5%,0-0,0.0%,8,37.5%,7,5,0,58,94-192,48.9%
Scott Ratliff,ARC,2,Defense,10,4,2,2,2-8,25.0%,0-7,0.0%,15,13.3%,6,8,13,29,1-8,12.5%
Steve Waldeck,ARC,24,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Tom Schreiber,ARC,26,Midfield,10,37,17,18,15-52,28.8%,2-7,28.5%,59,28.8%,29,22,1,9,0-0,0.0%
Tyler Pfister,ARC,5,Midfield,8,2,0,2,0-5,0.0%,0-1,0.0%,6,0.0%,3,2,1,4,0-0,0.0%
Will Manny,ARC,4,Attack,10,30,22,7,21-72,29.1%,1-2,50.0%,74,29.7%,50,20,1,7,0-0,0.0%
Mike Simon,ARC,66,Defense,7,2,1,0,0-3,0.0%,1-3,33.3%,6,16.6%,3,0,3,6,0-2,0.0%
Curtis Corley,ARC,42,Defense,6,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,1,6,0-0,0.0%
Brendan Fowler,ARC,7,Faceoff,5,0,0,0,0-3,0.0%,0-0,0.0%,3,0.0%,2,1,0,9,18-41,43.9%
Joey Sankey,ARC,34,Attack,5,9,4,5,4-29,13.7%,0-0,0.0%,29,13.7%,19,6,1,8,0-0,0.0%
Andrew Hodgson,ATL,11,Midfield,2,1,1,0,1-1,100.0%,0-2,0.0%,3,33.3%,2,2,2,4,0-0,0.0%
Austin Pifani,ATL,17,Defense,10,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,1,2,3,11,0-0,0.0%
Callum Robinson,ATL,10,Defense,8,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,4,2,10,0-0,0.0%
Chris Cloutier,ATL,45,Attack,7,14,9,5,9-27,33.3%,0-0,0.0%,27,33.3%,17,10,1,10,0-0,0.0%
Chris Mattes,ATL,-,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Connor Buczek,ATL,33,Midfield,10,22,16,4,14-50,28.0%,2-14,14.2%,64,25.0%,42,13,2,6,0-0,0.0%
Eric Law,ATL,15,Attack,10,30,20,10,20-34,58.8%,0-0,0.0%,34,58.8%,29,8,0,14,0-0,0.0%
Jake Richard,ATL,27,Midfield,10,3,1,2,1-2,50.0%,0-1,0.0%,3,33.3%,2,3,4,16,0-0,0.0%
James Pannell,ATL,32,Attack,2,1,1,0,1-4,25.0%,0-0,0.0%,4,25.0%,3,0,0,0,0-0,0.0%
Joel Tinney,ATL,55,Midfield,10,14,6,8,6-23,26.0%,0-0,0.0%,23,26.0%,17,6,2,8,0-0,0.0%
John Crawley,ATL,14,Midfield,7,8,5,3,5-16,31.2%,0-1,0.0%,17,29.4%,10,3,1,2,0-0,0.0%
Kevin Unterstein,ATL,13,Midfield,10,5,3,2,3-8,37.5%,0-0,0.0%,8,37.5%,3,3,3,23,0-0,0.0%
